Timestamp,RFID Tag,Antenna,Time Between Stamps
2024-05-30 15:50:52,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:50:54,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:00,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:51:02,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:51:08,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:51:10,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:16,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:51:18,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:24,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:51:26,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:32,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:51:34,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:40,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:51:42,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:51:48,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:51:50,E200 1AC1 9627 E100 1039 0F83,0,2.006
2024-05-30 15:51:56,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:51:58,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:52:04,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:52:06,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:52:12,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:52:14,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:52:20,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:52:22,E200 1AC1 9627 E100 1039 0F83,0,2.005
2024-05-30 15:52:28,E200 1AC1 9627 E100 1039 0F83,0,6.004
